borough,developmen,tds_num,Latitude,Longitude,NYCHA-data_CONSOLIDATED TDS#,NYCHA-data_NUMBER OF CURRENT APARTMENTS,NYCHA-data_TOTAL NUMBER OF APARTMENTS,NYCHA-data_NUMBER OF RENTAL ROOMS,NYCHA-data_AVG NO R/R PER APARTMENT,NYCHA-data_POPULATION PUBLIC HOUSING,NYCHA_data_TOTALPOPULATION,NYCHA-data_TOTAL # OF FIXED INCOME HOUSEHOLD,NYCHA-data_PERCENT FIXED INCOME HOUSEHOLDS,NYCHA-data_NUMBER OF RESIDENTIAL BLDGS,NYCHA-data_NUMBER OF NON-RESIDENTIAL BLDGS,NYCHA-data_PER RENTAL ROOM,NYCHA-data_AVG MONTHLY GROSS RENT,under_ten,ten_twenty,twenty_thirty,avg_travel_time,count_score,time_score,time_score_2
MANHATTAN,TAFT,97,40.798383,-73.946052,97,"1,463","1,470","6,597.5",4.51,"3,074","3,074",588,0.407,9,1,"$4,367.00",$539.00,12,24,40,18,0.990184671371355,0.691462461274013,0.5328883827708160
MANHATTAN,RUTGERS,99,40.711866,-73.991087,99,721,721,"3,358.5",4.66,"1,325","1,585",343,0.48,5,0,"$4,277.00",$544.00,12,41,44,19,0.990184671371355,0.598706325682924,0.7120667600938530
MANHATTAN,GOMPERS,100,40.718202,-73.981928,100,472,474,"2,193.0",4.65,"1,067","1,067",205,0.442,2,2,"$4,240.00",$556.00,5,33,42,20,0.5,0.5,0.4495508580874690
MANHATTAN,LEHMAN VILLAGE,101,40.794754,-73.947685,101,617,622,"2,893.5",4.69,"1,477","1,477",237,0.385,4,1,"$3,959.00",$558.00,5,31,30,18,0.5,0.691462461274013,0.492187126085722
BRONX,MORRIS I,102,40.834252,-73.905359,102,"1,083","1,085","5,237.5",4.84,"2,889","2,889",364,0.338,10,0,"$4,008.00",$499.00,8,30,73,21,0.841344746068543,0.401293674317076,0.5628658204359980
BRONX,MCKINLEY,103,40.822301,-73.904788,59,615,619,"2,928.5",4.76,"1,441","1,441",220,0.358,5,1,"$3,535.00",$528.00,6,37,80,21,0.630558659818236,0.401293674317076,0.6532127232683200
BROOKLYN,HYLAN,109,40.704334,-73.940057,86,209,209,933.5,4.47,456,456,82,0.394,1,0,"$4,240.00",$573.00,3,23,63,21,0.252492537546923,0.401293674317076,0.4952503819958230
MANHATTAN,DREW-HAMILTON,111,40.820513,-73.941992,111,"1,211","1,217","5,344.5",4.41,"2,169","2,800",474,0.4,5,0,"$4,687.00",$482.00,6,14,26,19,0.630558659818236,0.598706325682924,0.2084051829246780
MANHATTAN,WILSON,112,40.788765,-73.939136,112,398,398,"2,225.0",5.59,"1,250","1,250",104,0.267,3,0,"$3,219.00",$645.00,4,17,29,20,0.369441340181764,0.5,0.32974731146975000
BRONX,BUTLER,113,40.83599,-73.906675,113,"1,476","1,492","7,217.0",4.89,"4,297","4,297",446,0.304,6,1,"$4,068.00",$507.00,6,29,84,22,0.630558659818236,0.308537538725987,0.5479293970219190
